Наименование товара;Артикул;Розничная цена;Остаток на складе
Кормушка-поилка лотковая 50 см пластик для цыплят;XM0509-28;516.00;159
Бирка двойная для КРС 75*60 мм оранжевая с номером, 100 шт.;YL1160-75-60-ORA;3340.00;8
Каплеуловитель на круглую  и квадратную трубы, на одной ножке;YL5325;44.00;3658
Лоток для куриных яиц зеленый;YL5216-GRE;158.00;71
Поилка ниппельная для кур-несушек/бройлеров с креплением на трубу;YL5301;29.00;23134
Совок для корма, пластик, зеленый;YL3256G;302.00;78
Совок для корма, металл;YL3246;490.00;45
Кормушка бункерная 1 кг с круглыми отверстиями;XM3319RED;428.00;947
Поилка вакуумная для домашней птицы 1 л, синий;XM0501BLU;314.00;300
Когтеточка-комплекс 35х35х88 см, бежевый;SBE812-2;3750.00;260
Когтеточка-комплекс 30х30х88 см, бежевый;SBE812-3;3770.00;263
Кормушка лотковая 50 см пластик для цыплят;11636;795.00;23
Поилка вакуумная 5 л с пробкой и ручкой, поддон 8 см;11066;1160.00;39
Поилка вакуумная 8 л с пробкой и ручкой, поддон 8 см;11067;1280.00;77
Поилка вакуумная 12 л с пробкой и ручкой, поддон 8 см;11068;1500.00;20
Кормушка бункерная 5 кг оцинкованная сталь;11160;2520.00;39
Поилка чашечная автоматическая для птиц;12060;502.00;55
Гнездо для кур несушек Platinum, на ножках;10122;8560.00;22
Гнездо для кур несушек Platinum, 2 секции, на ножках;10132;10600.00;11
Гнездо для кур несушек Platinum, 3 секции, на ножках;10142;13000.00;11
Поилка ниппельная с каплеуловителем двойная на трубу 3/4;YL5304;77.00;4776
Скобы для скобообжимного инструмента, 1.7 см;YL5204;409.00;9324
Клипсатор ручной для сетки;YL8045;666.00;64
Поилка вакуумная 15 л с ручкой;YL5338-15;1230.00;59
Поилка вакуумная 10 л с ручкой;YL5338-10;1110.00;494
Поилка вакуумная 8 л с ручкой;YL5338-8;975.00;346
Поилка вакуумная 6 л с ручкой;YL5338-6;755.00;350
Поилка вакуумная 3 л с ручкой;YL5338-3;490.00;455
Поилка вакуумная 1.5 л с ручкой;YL5338-1.5;365.00;3
Поилка вакуумная 1 л с ручкой;YL5338-1;252.00;281
Кормушка бункерная 1,5 кг пластик с разделительной решеткой ;YL5106-1.5;264.00;185
Кормушка бункерная 3 кг пластик с разделительной решеткой ;YL5106-3;541.00;521
Кормушка бункерная 6 кг пластик с разделительной решеткой ;YL5106-6;742.00;721
Кормушка бункерная 9 кг пластик с разделительной решеткой ;YL5106-9;1120.00;826
Поилка чашечная автоматическая с медным клапаном;YL4119;971.00;3
Поилка чашечная пластиковая с клапаном;YL4118;486.00;62
Поилка чашечная автоматическая для животных 2,5 л;YL4131;2850.00;4
Биркач для установки ушных бирок универсальный, красный;YL1204-RED;1060.00;30
Щипцы татуировочные 5 знаков, 18,76 мм;YL1216;12100.00;16
Кормушка-поилка нержавеющая сталь для поросят;YL3107;1030.00;867
Поилка ниппельная из нержавеющей стали автоматическая для свиноматок;YL3429;297.00;81
Маркер для бирок чёрный;YL1602;629.00;30
Маркер MZA для ушных бирок, чёрный;YL1603;1060.00;1
Креветочник Newa More NMO 20 CRNE, 18 л, черный ;00_85_003;8900.00;5
Аквариум Newa More reef NMO 50R, 45 л, черный ;00_85_052;19100.00;13
Креветочник Newa More NMO 20W CRNE, 18 л, белый;00_85_013;8900.00;4
Аквариум Newa More reef NMO 50RW, 45 л, белый ;00_85_072;19100.00;3
Инструмент скобообжимной для клеток автоматический 8-12 мм;YL5361;3410.00;7
Инструмент скобообжимной для клеток автоматический ;YL5205;1370.00;1794
Каплеуловитель для трубы 22х22 мм на одной ножке, М;10037;64.00;1009
Когтеточка для кошек из гофрокартона с мятой 44х23х4 см;PSP012;496.00;1631
Когтеточка для кошек из гофрокартона с мятой 45х21х5,5 см;PSP014;518.00;1498
Когтеточка для кошек из гофрокартона с мятой 45х21х7,5 см;PSP015;518.00;1344
Когтеточка для кошек из гофрокартона с мятой 43х21х6,5 см;PSP018;528.00;1794
Кормушка бункерная 1 кг пластик с круглыми отверстиями;11215;416.00;51
Кормушка бункерная 10 кг оцинкованная сталь;11110;2710.00;19
Кормушка лотковая 100 см оцинкованная сталь для кур;11335;1750.00;29
Кормушка лотковая 50 см оцинкованная сталь для кур;11320;1330.00;1
Кормушка бункерная 20 кг оцинкованная сталь;11100;3680.00;8
Кормушка лотковая 100 см пластик для цыплят;11646;1580.00;42
Поилка-кормушка навесная диаметр 10 см алюминий;AB100;349.00;85
Емкость с ниппельным поением 12 л;D12N;2600.00;29
Поилка ниппельная для кроликов и птиц с удлинителем 6 см;10041-1;138.00;121
Поилка ниппельная для кроликов и птиц с удлинителем 6 см 90°;10041-4;181.00;574
Поилка ниппельная для кроликов с удлинителем 9 см;10041-3;142.00;27
Муфта гибкая для трубы 22х22 мм;20015;46.00;5895
Кольцо для птицы спиральное 20 мм, 100 шт.;049/20M;2490.00;4
Поилка кнопочная Optiflo для хряков и быков 105 мм 3/4 наружная;10055-B;1000.00;1
Инструмент для оглушения кроликов перед убоем нержавеющая сталь;10049;4800.00;3
Крепление для ниппельной поилки 15°, нерж. 1/2 - 1/2;1196-1;317.00;667
Крепление для ниппельной поилки 30°, нерж. 1/2 - 3/4;1196-3-1;432.00;20
Крепление для ниппельной поилки 30°, нерж. 3/4 - 3/4;1196-3-2;432.00;41
Перосъёмные пальцы PR144-60;DI144SH60;39.00;425
Перосъёмные пальцы PR499-50;DI499SH50;46.00;3061
Перосъёмные пальцы PR499-60;DI499SH60;46.00;9
Перосъёмные пальцы PRQV-60;DIQV_SH60;40.00;283
Перосъёмная машина NT-550 для бройлеров и кур;NT-550;34100.00;37
Перосъёмные пальцы PR499-55;DI499SH55;46.00;295
Клетка для мелких грызунов ABODE Gerbilarium;19175;4830.00;18
Труба квадратная 22х22 мм, 3 м;20010-3;500.00;583
Матрица 2,5 мм для гранулятора G150;DIE25;9170.00;1
Перосъёмная машина NT-800 для индеек;NT-800;66700.00;4
Медикатор Dosatron D25RE2/0.2-2%;D25RE2-50014;31300.00;176
Медикатор Dosatron D25RE5/1-5%;D25RE5-50015;33600.00;131
Ниппель поения (360 градусов) металл резьба 1/8 35-45 мл/мин;4077;135.00;351
Деаэратор концевой;4244-00;2070.00;6
Кормушка бункерная 2 кг пластик с решеткой с круглыми отверстиями на ножках;11149;781.00;33
Кормушка бункерная 4 кг пластик с решеткой с круглыми  отверстиями на ножках;11153;1300.00;31
Кормушка бункерная 8 кг пластик с решеткой с круглыми отверстиями на ножках;11164;1890.00;16
Кормушка бункерная 12 кг пластик с решеткой с круглыми отверстиями на ножках;11174;2630.00;13
Кормушка бункерная 16 кг пластик с решеткой с круглыми отверстиями на ножках;11182;3190.00;13
Поилка вакуумная 1,5 л с ручкой на ножках;10932;422.00;11
Поилка вакуумная 3 л с ручкой на ножках;10937;618.00;29
Поилка вакуумная 5 л с ручкой на ножках;10942;798.00;44
Поилка вакуумная 10 л с ручкой на ножках;10944;1200.00;27
Поилка вакуумная 8 л с ручкой на ножках;10943;1020.00;48
Кормушка бункерная 21 кг пластик с разделительной решеткой на ножках;11265;5250.00;12
Поилка вакуумная 10 л с винтовой пробкой и ручкой;10986;1150.00;20
Кормушка-поилка лотковая 20 см пластик для цыплят, оранжевый;11665;209.00;33
Кормушка-поилка лотковая 40 см пластик для цыплят, оранжевый;11675;372.00;22
Кормушка-поилка лотковая 50 см пластик для кур;11641;831.00;21
Поилка вакуумная 6 л;11010;1710.00;25
